Real_Time,Time_ms,Location_Note,CO2,VOC,IAQ,Gas_Res,Temp_Raw,Temp_Comp,Hum_Raw,Hum_Comp,Accuracy
2025-11-27 15:36:55,100475.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105478.0,0.0,0,0,41.07,0.0
2025-11-27 15:36:56,101565.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.51,41.0,41.07,0.0
2025-11-27 15:36:56,102595.0,Brodie Tower Seminar Room,500.0,0,0,106079.0,0.0,25.51,41.0,41.07,0.0
2025-11-27 15:36:56,0,Brodie Tower Seminar Room,0,0.49,25.0,105279.0,0.0,25.5,41.0,41.11,0.0
2025-11-27 15:36:57,103625.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104949.0,0.0,25.5,41.0,0,0
2025-11-27 15:36:58,104715.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105279.0,0.0,0,0,41.11,0.0
2025-11-27 15:36:59,105746.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.5,41.0,41.11,0.0
2025-11-27 15:37:01,106775.0,Brodie Tower Seminar Room,500.0,0,0,105213.0,0.0,25.52,41.0,41.08,0.0
2025-11-27 15:37:01,0,Brodie Tower Seminar Room,0,0.49,25.0,104949.0,0.0,25.52,41.0,41.08,0.0
2025-11-27 15:37:01,107805.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105412.0,0.0,25.52,41.0,0,0
2025-11-27 15:37:02,108835.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105081.0,0.0,0,0,41.08,0.0
2025-11-27 15:37:03,109866.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.52,41.0,41.1,0.0
2025-11-27 15:37:04,110896.0,Brodie Tower Seminar Room,500.0,0,0,105147.0,0.0,25.52,41.0,41.1,0.0
2025-11-27 15:37:04,0,Brodie Tower Seminar Room,0,0.49,25.0,105279.0,0.0,25.52,41.0,41.1,0.0
